#LINK
#lang	ja
#attribution_url	http://www.city.ueda.nagano.jp/
#attribution_name	hompg.ueda.city@gmail.com
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	aed_ueda
#download_from	http://linkdata.org/work/rdf1s1202i
#property	name	address	location	tel	count	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long	detail
#object_type_xsd	string	string	string	string	int	float	float	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
aed_ueda_0101	上田第一中学校	長野県上田市国分200				36.385860950027016	138.27276706695557	http://www.school.umic.jp/ueda1/
aed_ueda_0102	上田第二中学校	長野県上田市大手1-1-45				36.402416592945016	138.2474845647812	http://www.school.umic.jp/ueda2/
aed_ueda_0103	上田第三中学校	長野県上田市中央北3-3-62				36.415515246498664	138.25272023677826	http://www.school.umic.jp/ueda3/
aed_ueda_0104	上田第四中学校	長野県上田市諏訪形1200				36.39226944709636	138.23794662952423	http://www.school.umic.jp/ueda4/
aed_ueda_0105	上田第五中学校	長野県上田市上野441				36.407273800224665	138.2916471362114	http://www.school.umic.jp/ueda5/
aed_ueda_0106	上田第六中学校	長野県上田市小泉21-1				36.38879104607423	138.19708585739136	http://www.school.umic.jp/ueda6/
aed_ueda_0107	塩田中学校	長野県上田市中野377				36.362334129100034	138.19735407829285	http://www.school.umic.jp/shioda/
aed_ueda_0108	丸子中学校	長野県上田市上丸子1878				36.326704258695834	138.26867669820785	http://www.school.umic.jp/maruko/
aed_ueda_0109	丸子北中学校	長野県上田市生田3556				36.35278877207101	138.27789276838303	http://www.school.umic.jp/marukokj/
aed_ueda_0110	真田中学校	長野県上田市真田町長6326-1				36.439776888964346	138.30226063728332	http://www.school.umic.jp/sanada/
aed_ueda_0111	依田窪南部中学校	長野県上田市下武石111				36.28652874393614	138.24868887662887	http://www.yodakubo.ed.jp/
aed_ueda_0112	菅平小中学校	長野県上田市菅平高原1223-1419				36.532999820445724	138.32445859909058	http://www.school.umic.jp/sugadaira/
aed_ueda_0113	清明小学校	長野県上田市大手2-4-41				36.40349815737658	138.24926286935806	http://www.school.umic.jp/seimei/
aed_ueda_0114	東小学校	長野県上田市材木町1-10-13				36.398910580003395	138.2630655169487	http://www.school.umic.jp/higashi/
aed_ueda_0115	西小学校	長野県上田市常磐城5-1-53				36.41001313121073	138.24372947216034	http://www.school.umic.jp/nishi/
aed_ueda_0116	北小学校	長野県上田市中央北3-1-52				36.41243074261707	138.25475871562958	http://www.school.umic.jp/kita/
aed_ueda_0117	城下小学校	長野県上田市諏訪形928-2				36.38956619671234	138.2408058643341	http://www.school.umic.jp/shiroshita/
aed_ueda_0118	塩尻小学校	長野県上田市上塩尻219				36.417088749581765	138.21831285953522	http://www.school.umic.jp/shiojiri/
aed_ueda_0119	川辺小学校	長野県上田市上田原367				36.394631475508156	138.21342587471008	http://www.school.umic.jp/kawabe/
aed_ueda_0120	神川小学校	長野県上田市国分1386				36.37641997805455	138.2749155163765	http://www.school.umic.jp/kangawa/
aed_ueda_0121	神科小学校	長野県上田市住吉386-1				36.40847618198356	138.28585892915726	http://www.school.umic.jp/kamishina/
aed_ueda_0122	豊殿小学校	長野県上田市芳田968-1				36.40323262498826	138.3080729842186	http://www.school.umic.jp/houden/
aed_ueda_0123	東塩田小学校	長野県上田市古安曽1113				36.34874476479401	138.22098702192306	http://www.school.umic.jp/higashishioda/
aed_ueda_0124	中塩田小学校	長野県上田市中野93				36.36393678754897	138.19935500621796	http://www.school.umic.jp/nakashioda/
aed_ueda_0125	塩田西小学校	長野県上田市山田476-1				36.351509920685736	138.17582935094833	http://www.school.umic.jp/shiodanishi/
aed_ueda_0126	浦里小学校	長野県上田市浦野237				36.37750406373018	138.1615975499153	http://www.school.umic.jp/urasato/
aed_ueda_0127	川西小学校	長野県上田市仁古田508				36.38353320475269	138.18125009536743	http://www.school.umic.jp/kawanishi/
aed_ueda_0128	南小学校	長野県上田市中之条485				36.39578871368801	138.222234249115	http://www.school.umic.jp/minami/
aed_ueda_0129	丸子中央小学校	長野県上田市上丸子824				36.32371563826138	138.2736736536026	http://www.school.umic.jp/marukoch/
aed_ueda_0130	西内小学校	長野県上田市平井1704				36.303211433639454	138.16210448741913	http://www.school.umic.jp/nishiuchi/
aed_ueda_0131	丸子北小学校	長野県上田市生田3556				36.34994589144901	138.27727854251861	http://www.school.umic.jp/marukoke/
aed_ueda_0132	塩川小学校	長野県上田市塩川1400				36.35591020454545	138.305806517601	http://www.school.umic.jp/shiogawa/
aed_ueda_0133	長小学校	長野県上田市真田町長4200-3				36.4473870336152	138.32293510437012	http://www.school.umic.jp/osa/
aed_ueda_0134	傍陽小学校	長野県上田市真田町傍陽6035-1				36.457453631187086	138.29139232635498	http://www.school.umic.jp/soehi/
aed_ueda_0135	本原小学校	長野県上田市真田町本原2175-1				36.42901525473767	138.30815881490707	http://www.school.umic.jp/motohara/
aed_ueda_0137	武石小学校	長野県上田市上武石20				36.28160345823708	138.2306805253029	http://www.school.umic.jp/takeshi/
aed_ueda_0201	上田高等学校	長野県上田市大手1-4-32				36.4009010821293	138.24894100427627	http://ueda-h.ddo.jp/
aed_ueda_0202	上田染谷丘高等学校	長野県上田市上田西岡1710				36.4096396898832	138.2614615559578	http://www.nagano-c.ed.jp/someyahs/
aed_ueda_0203	上田東高等学校	長野県上田市常田3-5-68				36.39516259815522	138.26389968395233	http://www.nagano-c.ed.jp/uehs/
aed_ueda_0204	上田千曲高等学校	長野県上田市中之条626				36.40070246598572	138.2283791899681	http://www.nagano-c.ed.jp/chikuma/
aed_ueda_0205	丸子修学館高等学校	長野県上田市中丸子810-2				36.33085096877019	138.27603936195373	http://www.nagano-c.ed.jp/marukohs/
aed_ueda_0206	上田西高等学校	長野県上田市下塩尻868				36.412540828488225	138.20693761110306	http://www.uedanishi.ed.jp/
aed_ueda_0207	さくら国際高等学校	長野県上田市手塚1065				36.345495581131715	138.18029254674911	http://www.sakura-kokusai.ed.jp/
aed_ueda_0301	信州大学繊維学部	長野県上田市常田3-15-1				36.392634335514636	138.2619658112526	http://www.shinshu-u.ac.jp/faculty/textiles/
aed_ueda_0302	長野大学	長野県上田市下之郷658-1				36.369157078178596	138.22314083576202	http://www.nagano.ac.jp/
aed_ueda_0303	上田女子短期大学	長野県上田市下之郷乙620				36.3696063048611	138.22073489427566	http://www.uedawjc.ac.jp/
